(u'alaskaair.com', 'alasmaair.com.', 'alasmaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskair.org.', 'alaskair.org', u'typo', '63.236.116.16')
(u'alaskaair.com', 'alaskaakr.com.', 'alaskaakr.com', u'bits', '23.22.216.234')
(u'alaskaair.com', 'alaskaalr.com.', 'alaskaalr.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaira.com.', 'alaskaaira.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskeair.com.', 'alaskeair.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaior.com.', 'alaskaaior.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskair.net.', 'alaskair.net', u'typo', '63.236.116.16')
(u'alaskaair.com', 'aalaskaair.com.', 'aalaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'laskaair.com.', 'laskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaqskaair.com.', 'alaqskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaer.com.', 'alaskaaer.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alaslkaair.com.', 'alaslkaair.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'aolaskaair.com.', 'aolaskaair.com', u'typo', '64.12.79.10')
(u'alaskaair.com', 'alaskaairt.com.', 'alaskaairt.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaska-air.org.', 'alaska-air.org', u'typo', '159.49.253.14')
(u'alaskaair.com', 'alasjaair.com.', 'alasjaair.com', u'bits', '52.52.64.247')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '46.51.177.195')
(u'alaskaair.com', 'alaskair.com.', 'alaskair.com', u'typo', '63.236.116.16')
(u'alaskaair.com', 'alaska-air.net.', 'alaska-air.net', u'typo', '159.49.253.14')
(u'alaskaair.com', 'aoaskaair.com.', 'aoaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alkaskaair.com.', 'alkaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaiir.com.', 'alaskaaiir.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'slaskaair.com.', 'slaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alsskaair.com.', 'alsskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaor.com.', 'alaskaaor.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'laaskaair.com.', 'laaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaska-air.com.', 'alaska-air.com', u'typo', '159.49.253.14')
(u'alaskaair.com', 'alsaskaair.com.', 'alsaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskasir.com.', 'alaskasir.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alasksaair.com.', 'alasksaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'akaskaair.com.', 'akaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.ws.', 'alaskaair.ws', 'wrongTLD', '64.70.19.203')
(u'alaskaair.com', 'alsakaair.com.', 'alsakaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aladkaair.com.', 'aladkaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'aloaskaair.com.', 'aloaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasskaair.com.', 'alasskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaai4.com.', 'alaskaai4.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskasair.com.', 'alaskasair.com', u'typo', '69.64.147.244')
(u'alaskaair.com', 'alasaair.com.', 'alasaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alawskaair.com.', 'alawskaair.com', u'typo', '52.52.18.176')
